Subject,Body
Mansi Tukadekar and others have added 4 comments on Sakshi Thombre post.,"Mansi Tukadekar and others have added 4 comments on Sakshi Thombre post.
“Congratulations!”
UPDATE
Innovation isn’t just about ideas — it’s about impact. ✨
5 months ago, our team took on the Smart India Hackathon challenge, and we’re proud to have won! 🏆
This win is a…
109 reactions~4 comments"
Artificial Intelligence Intern role at Zetheta Algorithms Private Limited is available,"Artificial Intelligence Intern
Zetheta Algorithms Private Limited
India
High skills match
Apply with resume & profile
Software Engineer Intern
Stealth Startup
India
This company is actively hiring
Apply with resume & profile
SDE 1 Intern
Weekday AI (YC W21)
Bengaluru
High experience match
Apply with resume & profile
Machine Learning Engineer
Ionio
India
High experience match
Apply with resume & profile
Paid internship - Machine Learning and Programming
Mente Consultancies
New Delhi
High skills match
Apply with resume & profile
Jobs where you’re a top applicant
Unlock the full list of jobs with Premium.
You are receiving Jobs You Might Be Interested In emails."
I want to connect,"Omkar is waiting for your response
Hi Ambarish, I’d like to join your professional network
Omkar Ingole
SIMCA
Nanded
61 connections in common
Build your network with InMail"
I want to connect,"Prajwal is waiting for your response
Hi Ambarish, I’d like to join your professional network
Prajwal Pande
Attended Mgm College Of Engineering & Technology
Nanded
7 connections in common
Build your network with InMail"
126 profile views,"Your profile is looking great
Your work and accomplishments are being recognized
126 profile views"
I want to connect,"Dnyaneshwar, Senior Software Engineer - L3 from Canterr, Inc. is waiting for your response
Hi Ambarish, I’d like to join your professional network
Dnyaneshwar Navle
Tech Lead | Senior Software Developer | Java | Spring Boot | Microservices | SQL | MongoDB | AWS | GCP | Docker | Kubernetes | Kafka | Product Development | Cloud-Native Apps
Pune
47 connections in common
Build your network with InMail"
"About Ambarish and others: 5 messages, 4 friend requests and 6 other new updates.","View your notifications
Go to Facebook
Hi Manjusha,
You have 15 unread notifications to review
A lot has happened on Facebook since you last logged in. Here are some notifications you've missed from your friends.
5 messages from Khoobsurat and 2 others
4 friend requests
6 other new notifications
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
I want to connect,"Shubham, Senior Associate Consultant from Infosys is waiting for your response
Hi Ambarish, I’d like to join your professional network
Shubham Awale
Senior Associate Consultant | Product Catalog ||Telecom BSS Expert | Driving Innovation & Efficiency in Telecom Systems | Digital transformation
Pune
21 connections in common
Build your network with InMail"
I want to connect,"Niraj is waiting for your response
Hi Ambarish, I’d like to join your professional network
Niraj Nillawar
""Emerging Coding Enthusiast: Committed to Crafting Innovative Solutions""😀💻💻
Nanded
Build your network with InMail"
I want to connect,"Vivek, GET Geologist from Sterling Oil Exploration & Energy Production Co. Limited is waiting for your response
Hi Ambarish, I’d like to join your professional network
Vivek PV
GET-Geologist | Sterling Oil | Geoscience Enthusiast | Post Graduate in Geology |
Kannur
11 connections in common
Build your network with InMail"
I want to connect,"Abhishek is waiting for your response
Hi Ambarish, I’d like to join your professional network
Abhishek Shelke
fresher
Chhatrapati Sambhajinagar
8 connections in common
Build your network with InMail"
I want to connect,"Mangesh, Intern from Mentorness is waiting for your response
Hi Ambarish, I’d like to join your professional network
Mangesh Waghmare
Chhatrapati Sambhajinagar
13 connections in common
Build your network with InMail"
I want to connect,"Satendra kumar, Production Supervisor from Linamar Corporation is waiting for your response
Hi Ambarish, I’d like to join your professional network
Satendra kumar Sahu
--
Dewas
2 connections in common
Build your network with InMail"
I want to connect,"Thaman is waiting for your response
Hi Ambarish, I’d like to join your professional network
Thaman SN
Dreaming Beyond the Stars | Inspired by ISRO | Exploring Advanced Space Technology
Mysore
1 connection in common
Build your network with InMail"
I want to connect,"ishwari is waiting for your response
Hi Ambarish, I’d like to join your professional network
ishwari deshmukh
Data Analyst || Software Engineer
Nanded
28 connections in common
Build your network with InMail"
I want to connect,"Sayan, Research Intern from Jadavpur University is waiting for your response
Hi Ambarish, I’d like to join your professional network
Sayan Mandal
Undergrad AI Researcher @JU | ex-Research Intern @IIEST | ML Co-Lead @AWS Cloud Club KiiT | GSSoC'24 | Gate DA'25 Qualified | B.Tech(IT) @KIIT'25
Kolkata
5 connections in common
Build your network with InMail"
"About Ambarish and others: 5 messages, 4 friend requests and 6 other new updates.","View your notifications
Go to Facebook
Hi Manjusha,
You have 15 unread notifications to review
A lot has happened on Facebook since you last logged in. Here are some notifications you've missed from your friends.
5 messages from Khoobsurat and 2 others
4 friend requests
6 other new notifications
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
I want to connect,"Iresh is waiting for your response
Hi Ambarish, I’d like to join your professional network
Iresh Dudde
Aspiring Data Analyst with Proficiency in SQL, Python, and Data Visualization.
Pune
1 connection in common
Build your network with InMail"
"Ambarish, start a conversation with your new connection, Rumpa",Accepted invitation
Telangana Designer Collections recently shared a post,"Hi Manjusha,
""Kanchi soft silk sarees
View more from this creator
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
136 profile views,"Your profile is looking great
Your work and accomplishments are being recognized
136 profile views"
I want to connect,"Kunal is waiting for your response
Hi Ambarish, I’d like to join your professional network
Kunal Chaudhari
Attended Sant Gadge Baba Amravati University, Amravati
Yavatmal
Build your network with InMail"
You’re now open to work - we can help you get noticed,"Showcase what you have to offer on your profile. Here’s what recruiters and hiring managers are looking for:
Your experience
Highlight achievements in each role.
Your skills
Showcase what you are great at.
Personal summary
Show your expertise and interests.
You are receiving Job Preferences emails."
Shiv Mehrotra and others have added 4 comments on Vishu Kalier post.,"Shiv Mehrotra and others have added 4 comments on Vishu Kalier post.
“Congrats Vishu! 🎉”
My Journey to Becoming a CodeForces Specialist
I am thrilled to share that I have recently achieved the title of Specialist on CodeForces! In my latest Div II contest, I…
29 reactions~4 comments"
"About Ambarish and others: 5 messages, 4 friend requests and 7 other new updates.","View your notifications
Go to Facebook
Hi Manjusha,
You have 16 unread notifications to review
A lot has happened on Facebook since you last logged in. Here are some notifications you've missed from your friends.
5 messages from Priti Chidrawar Wattamwar and 2 others
4 friend requests
7 other new notifications
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
AI Engineer Intern role at ScatterPie Analytics: Actively recruiting,"AI Engineer Intern
ScatterPie Analytics
Mumbai
This company is actively hiring
Apply with resume & profile
AI/ML and python Interns
Indzone Tech Private Limited
Mumbai
High experience match
Apply with resume & profile
Artificial Intelligence Intern
MARS Cosmetics
Greater Delhi Area
This company is actively hiring
Apply with resume & profile
Python Developer Intern(with PPO)
meetX
India
High skills match
Apply with resume & profile
Software Engineer Intern
VisaFriendly
India
High skills match
Apply with resume & profile
Jobs where you’re a top applicant
Unlock the full list of jobs with Premium.
You are receiving Jobs You Might Be Interested In emails."
I want to connect,"Snehal, Campus Ambassador from DevTown is waiting for your response
Hi Ambarish, I’d like to join your professional network
Snehal Jadhav
Campus Ambassador at DevTown with skills in Ethical Hacking and System Vulnerabilities
Maharashtra, India
4 connections in common
Build your network with InMail"
I want to connect,"Aditya is waiting for your response
Hi Ambarish, I’d like to join your professional network
Aditya Deshmukh
BIIB | SBUP | MBA STUDENT
India
2 connections in common
Build your network with InMail"
I want to connect,"Ayushi is waiting for your response
Hi Ambarish, I’d like to join your professional network
Ayushi Baliyan
Front-End Developer | | Open Source Contributor
Noida
1 connection in common
Build your network with InMail"
Dainik Bhaskar recently shared a post,"Hi Manjusha,
""एक्टर-डायरेक्टर मनोज कुमार का शनिवार को राजकीय सम्मान के साथ अंतिम संस्कार किया गया। मुंबई में जुहू स्थित पवनहंस श्मशान घाट पर उनके पार्थिव शरीर को तिरंगे में लपेटकर लाया गया था। यहां उन्हें 21 तोपों की सलामी दी गई।
पढ़ें पूरी खबर- 
View more from this creator
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
Gen AI developer Intern role at Zordie AI is available,"Gen AI developer Intern
Zordie AI
India
High skills match
Apply with resume & profile
Artificial Intelligence Intern
V H Consulting
Thane
High skills match
Apply with resume & profile
AI Developer Internship
Arcitech
Mumbai
This company is actively hiring
Artificial Intelligence Intern
Tripify India
Delhi
High skills match
Apply with resume & profile
Junior Machine Learning Engineer
ClearML
Mumbai Metropolitan Region
High experience match
Apply with resume & profile
Jobs where you’re a top applicant
Unlock the full list of jobs with Premium.
You are receiving Jobs You Might Be Interested In emails."
"Ambarish, your Position is added! Take these next steps for more success.","Connect with people you may know from Mahatma Gandhi Mission's College of Engineering, Nanded
Tapaswini Panigrahi
Assistant professor of Civil Engineering at Thakur College Of Engineering and Technology
KIRANPREET KAUR Gill
Charismatic and Professional Educator with over 10+ years of experience in the Education Industry domain
Showcase your expertise by adding relevant skills
Because your work as Undergraduate Student
Celebrate your new position by sharing a post
Share your journey and inspire others with the story of your accomplishment."
"Ambarish, start a conversation with your new connection, Ajinkya",Accepted invitation
I want to connect,"ONKAR, Assistant from globe optimum solution is waiting for your response
Hi Ambarish, I’d like to join your professional network
ONKAR WANGALWAR
PLM
Nanded
19 connections in common
Build your network with InMail"
I want to connect,"Raj is waiting for your response
Hi Ambarish, I’d like to join your professional network
Raj Choubey
Attended Adamas University
Barrackpur-II
5 connections in common
Build your network with InMail"
"About Ambarish and others: 5 messages, 4 friend requests and 8 other new updates.","View your notifications
Go to Facebook
Hi Manjusha,
You have 17 unread notifications to review
A lot has happened on Facebook since you last logged in. Here are some notifications you've missed from your friends.
5 messages from Khoobsurat and 2 others
4 friend requests
8 other new notifications
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
142 profile views,"Your profile is looking great
Your work and accomplishments are being recognized
142 profile views"
SkillFied Mentor is hiring a Machine Learning Intern,"Machine Learning Intern
SkillFied Mentor
India
High skills match
Artificial Intelligence Intern
theGoodbrowser
Gurugram
High skills match
Data Science Intern
InLighn Tech
India
High skills match
AI/ML Engineering Intern
Stackruit
Bengaluru
High experience match
Apply with resume & profile
Python Developer - Django Internship
Clinchcloud Solutions
Vadodara
High experience match
Python Developer/AI - Intern
Tactic one
Pune
High experience match
Apply with resume & profile
Jobs where you’re a top applicant
Unlock the full list of jobs with Premium.
You are receiving Jobs You Might Be Interested In emails."
I want to connect,"Bagmaru is waiting for your response
Hi Ambarish, I’d like to join your professional network
Bagmaru Munawwar
AWS Certified • DevOps Engineer
Udgir
20 connections in common
Build your network with InMail"
I want to connect,"Anuja, Associate Consultant from Intellect Design Arena Ltd is waiting for your response
Hi Ambarish, I’d like to join your professional network
Anuja Patil
Software Associate at Intellect Design Arena
Navi Mumbai
32 connections in common
Build your network with InMail"
Product Manager Accelerator is hiring a AI Engineer Intern - AI/ML/GenAI Design & Development,"AI Engineer Intern - AI/ML/GenAI Design & Development
Product Manager Accelerator
India
High skills match
Remote Intern - Hardware & Computer Vision Developer (Unpaid)
GridLabel
Delhi
High experience match
Apply with resume & profile
Product Management Intern – AI-Powered Tech Startup
SkillsCapital
India
High experience match
Apply with resume & profile
Data Science & ML Engg. Intern
Certimap
India
High skills match
Apply with resume & profile
Machine Learning Engineer [Remote, International]
CurieDx
Bengaluru
High experience match
Apply with resume & profile
Jobs where you’re a top applicant
Unlock the full list of jobs with Premium.
You are receiving Jobs You Might Be Interested In emails."
I want to connect,"Aditya is waiting for your response
Hi Ambarish, I’d like to join your professional network
Aditya Gone
Work Holic | AutoCAD runner | Deep Thinking |
UMA-IITB project | CIVIL'25 @MGMCEN
Nanded
11 connections in common
Build your network with InMail"
SproutsAI is hiring a AI &amp; ML Intern,"AI & ML Intern
SproutsAI
India
High experience match
Python Intern
Meta Scifor Technologies
India
High experience match
Machine Learning Intern
WebBoost Solutions by UM
India
High skills match
Machine Learning Engineer Intern
Caprae Capital Partners
Greater Bengaluru Area
This company is actively hiring
Apply with resume & profile
Machine Learning Intern
Unified Mentor Private Limited
India
High skills match
Jobs where you’re a top applicant
Unlock the full list of jobs with Premium.
You are receiving Jobs You Might Be Interested In emails."
I want to connect,"Tanmay is waiting for your response
Hi Ambarish, I’d like to join your professional network
Tanmay Kshirsagar
Full Stack/MERN Developer | AI/ML & Data Science Enthusiast | 3rd-Year Computer Engineering Student
Latur
10 connections in common
Build your network with InMail"
I want to connect,"IRAFAN is waiting for your response
Hi Ambarish, I’d like to join your professional network
IRAFAN SHAIKH
Student at Dr. Babasaheb Ambedkar Technological University
Nanded
2 connections in common
Build your network with InMail"
Turing is hiring a Remote Data Scientist - 17843,"Remote Data Scientist - 17843
Turing
Mumbai
This company is actively hiring
Apply with resume & profile
GEN AI
Virtusa
Pune
This company is actively hiring
VP of Artificial Intelligence Innovation, Trilogy (Remote) - $200,000/year USD
Crossover
Gurgaon
Be first of 13 to apply
Work from Home Internet Rater - Sindhi Language
TELUS Digital AI Data Solutions
Greater Indore Area
This company is actively hiring
Volunteer
Jaagrukta.
India
Python-DET-RCE
EY
411014
1 connection
Jobs where you’re a top applicant
Unlock the full list of jobs with Premium.
You are receiving Jobs You Might Be Interested In emails."
I want to connect,"Priya is waiting for your response
Hi Ambarish, I’d like to join your professional network
Priya Somani
Web Developer | Frontend & Backend developer | Building User-Centric Web Applications
Nanded
40 connections in common
Build your network with InMail"
155 profile views,"Your profile is looking great
Your work and accomplishments are being recognized
155 profile views"
I want to connect,"Vipul, Project Lead from DJS Compute is waiting for your response
Hi Ambarish, I’d like to join your professional network
Vipul Mhatre
8x Hackathons Winner 🏆 | Ex-Intern @WEBXELA | Project Lead @DJS COMPUTE | Cyber Security | Next.js | Cloud | Blockchain | CSE'26
Thane
2 connections in common
Build your network with InMail"
Sanskar Kotalwar and others have added 6 comments on SOHAM KOTGIRE post.,"Sanskar Kotalwar and others have added 6 comments on SOHAM KOTGIRE post.
“Congrats SOHAM! 🎉”
I’m happy to share that I’m starting a new position as Web Developer Intern at WebHub Technology Pune India!
20 reactions~6 comments"
You have an invitation,"Kedar is waiting for your response
Hi Ambarish, I’d like to join your professional network
Kedar Bhawthankar
PRE FINAL YEAR B.TECH STUDENT
Nanded
60 connections in common
Build your network with InMail"
I want to connect,"Mangesh, Full Stack Developer from CodeAlpha  is waiting for your response
Hi Ambarish, I’d like to join your professional network
Mangesh Chate
🚀 Full-Stack Developer | MERN Stack | Scalable Web Apps & APIs | Passionate About Building Seamless Digital Experiences
Pune
78 connections in common
Build your network with InMail"
Shaikh Musaib wants to join your network,"Hi Ambarish Udgirkar,
Here’s a summary of your latest invitations to connect.
Shaikh Musaib
Final-Year B.Tech IT | Web Developer (HTML, CSS, JavaScript, Python, Java) | Seeking Internship | Passionate About Building Scalable Solutions60 mutual connections"
23 Ventures Incorporation is hiring a Early Stage Web3 Founder,"Early Stage Web3 Founder
23 Ventures Incorporation
India
Be first of 8 to apply
Apply with resume & profile
𝐓𝐞𝐥𝐞𝐜𝐚𝐥𝐥𝐢𝐧𝐠 𝐈𝐧𝐭𝐞𝐫𝐧𝐬!
nicheBrains
India
This company is actively hiring
Apply with resume & profile
Former Startup CTOs (Open-Ended)
Naptha AI
Mumbai
High experience match
Sindhi-speaking Internet Assessor in India
TELUS Digital AI Data Solutions
Ajmer
This company is actively hiring
Co-Founder with Investment
Nebulixus
India
Be first of 16 to apply
Apply with resume & profile
Chief Executive Officer
Board Match-Up
Mumbai Metropolitan Region
High skills match
Jobs where you’re a top applicant
Unlock the full list of jobs with Premium.
You are receiving Jobs You Might Be Interested In emails."
I want to connect,"Avikal, Internpe from InternPe is waiting for your response
Hi Ambarish, I’d like to join your professional network
Avikal Tomer
Tech enthusiast
Hyderabad
1 connection in common
Build your network with InMail"
I want to connect,"Shriyash is waiting for your response
Hi Ambarish, I’d like to join your professional network
Shriyash Pachpande
Attended Mgm College Of Engineering & Technology
Nanded
17 connections in common
Build your network with InMail"
I want to connect,"Swapnaja is waiting for your response
Hi Ambarish, I’d like to join your professional network
Swapnaja Ghongade
Attended Mgm College Of Engineering & Technology
Nanded
39 connections in common
Build your network with InMail"
Naptha AI is hiring a Former Startup CTOs (Open-Ended),"Former Startup CTOs (Open-Ended)
Naptha AI
Mumbai
High experience match
CEO (New Venture)
Bombay Design Centre
Mumbai
This company is actively hiring
Apply with resume & profile
Chief Executive Officer
East 57th Street Partners
India
This company is actively hiring
Apply with resume & profile
Chief Executive Officer
Board Match-Up
Mumbai Metropolitan Region
High skills match
Jobs where you’re a top applicant
Unlock the full list of jobs with Premium.
You are receiving Jobs You Might Be Interested In emails."
"Ambarish, start a conversation with your new connection, Mukhtar",Accepted invitation
I want to connect,"Ganesh is waiting for your response
Hi Ambarish, I’d like to join your professional network
Ganesh Wankhede
🥈 Silver Medalist in MS🥈| Skilled in Java, HTML5, CSS, JavaScript, Reactjs, Bootstrap, and jQuery | Software Engineering
Pune
51 connections in common
Build your network with InMail"
I want to connect,"Nivratti is waiting for your response
Hi Ambarish, I’d like to join your professional network
Nivratti Padampalle
Attended Doctor Babasaheb Ambedkar Marathwada University lonare
Mumbai
30 connections in common
Build your network with InMail"
I want to connect,"Mayur, Developer from Python is waiting for your response
Hi Ambarish, I’d like to join your professional network
Mayur Narwade
Computer Science Student | Strong Software Skills and Effective Communication | Dedicated to Continuous Improvement
Nanded
82 connections in common
Build your network with InMail"
203 profile views,"Your profile is looking great
Your work and accomplishments are being recognized
203 profile views"
👤 Satish Joshi is a new friend suggestion for you,"Find more friends
Hi Manjusha,
Add the people you know to see their photos and updates.
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
Turing is hiring a Remote Python Engineer - 17852,"Remote Python Engineer - 17852
Turing
Pune/Pimpri-Chinchwad Area
This company is actively hiring
Apply with resume & profile
Work from Home India
TELUS Digital
Pune
This company is actively hiring
VP of Artificial Intelligence Innovation, Trilogy (Remote) - $200,000/year USD
Crossover
Pune
Be first of 17 to apply
SQL or Python Developer
AKS ProTalent
India
High experience match
Director, Data Science (R12659)
Oportun
India
High experience match
Campus CEO
Soul AI
India
High skills match
Jobs where you’re a top applicant
Unlock the full list of jobs with Premium.
You are receiving Jobs You Might Be Interested In emails."
You have 21 notifications about Ambarish and others,"View your notifications
Go to Facebook
Hi Manjusha,
You have 21 unread notifications to review
A lot has happened on Facebook since you last logged in. Here are some notifications you've missed from your friends.
5 messages from Khoobsurat and 2 others
4 friend requests
12 other new notifications
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
Powerful Dua and 7 others are new Group suggestions for you,"Hi Manjusha,
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
I want to connect,"SUMAN is waiting for your response
Hi Ambarish, I’d like to join your professional network
SUMAN SARKAR
--
Bengaluru
3 connections in common
Build your network with InMail"
I want to connect,"Rucha, Executive from SRBC and Co LLP is waiting for your response
Hi Ambarish, I’d like to join your professional network
Rucha Neralkar
Chartered Accountant (May'24)
Pune
Build your network with InMail"
Vedant Bachhav wants to join your network,"Hi Ambarish Udgirkar,
Here’s a summary of your latest invitations to connect.
Vedant Bachhav
Ex. Intern @DIAT-DRDO | Java & Python | Web Design | 5 stars on HackerRank |5 mutual connections"
"Crossover  is hiring a VP of Artificial Intelligence, Trilogy (Remote) - $200,000/year USD","VP of Artificial Intelligence, Trilogy (Remote) - $200,000/year USD
Crossover
Mumbai Metropolitan Region
High skills match
Python Developer
goML
India
High experience match
Apply with resume & profile
Flutter Developer
Truelancer.com
India
This company is actively hiring
Apply with resume & profile
BISO, APAC
Coinbase
India
This company is actively hiring
IFS Cloud FSM/PSO consultants
The Tech Galore
Delhi
Be first of 3 to apply
Kok Borok Linguistic projects (Remote)
Sigma AI
India
Be first of 6 to apply
Jobs where you’re a top applicant
Unlock the full list of jobs with Premium.
You are receiving Jobs You Might Be Interested In emails."
I want to connect,"Hari Prasad, AI-ML Virtual Intern from EduSkills Foundation is waiting for your response
Hi Ambarish, I’d like to join your professional network
Hari Prasad Chinimilli
Pre-final Year Undergraduate Student 💻 | Aspiring Data Scientist | AI & ML Enthusiast | Web Developer | Engineering Student at KIET 🚀
Hyderabad
6 connections in common
Build your network with InMail"
I want to connect,"Ajay, Fullstack Web Development from Unified Mentor Private Limited is waiting for your response
Hi Ambarish, I’d like to join your professional network
Ajay Singh
Fullstack Intern@Unified Mentor | 5🌟@HakerRank| 250+problems@geeksforgeeks |
B.Tech(C.S.E) Student at Rama University
Kanpur
1 connection in common
Build your network with InMail"
You have an invitation,"Swastik, Associate Software Engineer - Intern from Proeffico Solutions Private Ltd. is waiting for your response
Hi Ambarish, I’d like to join your professional network
Swastik Vaish
5x Internships in CV, ML, SDE and Networking roles at various companies | Founding Member of AIML Community @ MUJ | 6x Hackathon Winner
New Delhi
2 connections in common
Build your network with InMail"
You have an invitation ✉️,"Saeed is waiting for your response
Hi Ambarish, I’d like to join your professional network
Saeed Qazi
--
Nanded
44 connections in common
Build your network with InMail"
You have an invitation,"Syed, Assistant to Project Manager from Aqsa Minority Education & Welfare Society is waiting for your response
Hi Ambarish, I’d like to join your professional network
Syed Intekhab
Tech Enthusiast | Full-Stack Web Developer | Passionate About Coding & Problem-Solving
Parbhani
2 connections in common
Build your network with InMail"
LUCKNOW COLLECTION> and 7 others are new Group suggestions for you,"Hi Manjusha,
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
I want to connect,"vinitha reddy is waiting for your response
Hi Ambarish, I’d like to join your professional network
vinitha reddy katta
🎓 Pursuing Engineering at Sri Indu | 🌐 Web Development Enthusiast | 💡 DSA Innovator | 📚 Committed to Learning
Hyderabad
4 connections in common
Build your network with InMail"
You have 21 notifications about Ambarish and others,"View your notifications
Go to Facebook
Hi Manjusha,
You have 21 unread notifications to review
A lot has happened on Facebook since you last logged in. Here are some notifications you've missed from your friends.
5 messages from Priti Chidrawar Wattamwar and 2 others
4 friend requests
12 other new notifications
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
You have an invitation,"Ritesh, Training And Placement Coordinator  from MGM's College of CS and IT is waiting for your response
Hi Ambarish, I’d like to join your professional network
Ritesh Gandalwad
DSA | PYTHON | MERN | .NET | SQL
Nanded
7 connections in common
Build your network with InMail"
👤 Sanika More is a new friend suggestion for you,"Find more friends
Hi Manjusha,
Add the people you know to see their photos and updates.
Thanks,
The Facebook team
Meta Platforms, Inc., Attention: Community Support, 1 Meta Way, Menlo Park, CA 94025"
You have an invitation ✉️,"Harshal Keda, Data science from Next24tech Technology & Services is waiting for your response
Hi Ambarish, I’d like to join your professional network
Harshal Keda Sonawane
Sinhgad College Of Engineering
Pune
1 connection in common
Build your network with InMail"
I want to connect,"Sreehitha is waiting for your response
Hi Ambarish, I’d like to join your professional network
Sreehitha Reddy
student at chaitanya bharathi institute of technology
Yerraguntla
1 connection in common
Build your network with InMail"
"Ambarish, start a conversation with your new connection, Nirbhay",Accepted invitation
206 profile views,"Your profile is looking great
Your work and accomplishments are being recognized
206 profile views"
You have an invitation ✉️,"Shivam, Corporate Trainer / Consultant from Cloud Consultant is waiting for your response
Hi Ambarish, I’d like to join your professional network
Shivam Sharma
AWS Authorized Instructor(Champion) & Microsoft Certified Trainer (MCT) | 7X AWS | 4X Microsoft | Corporate Trainer | Multi-Cloud Architect | Oracle Cloud | Barracuda | Palo Alto | System Admin |
Uttarakhand, India
1 connection in common
Build your network with InMail"
